AA_CATEGORY,AA_URI,AA_URL,class,A_RowId,LEMMATIZEDSENTENCE,RAWSENTENCE
Departments,BLANK,http:||csmm.humanities.mcmaster.ca|graduate-programs|m-a-in-communication-and-new-media|,,Some(Departments)NoneSome(BLANK)NoneSome(http:||csmm.humanities.mcmaster.ca|graduate-programs|m-a-in-communication-and-new-media|)None,HTLC graduate study McMaster.,HTLC Why Graduate Studies at McMaster.
UBC Faculty of Land and Food Systems,BLANK,http:||dairycentre.landfood.ubc.ca|,,Some(UBC Faculty of Land and Food Systems)NoneSome(BLANK)NoneSome(http:||dairycentre.landfood.ubc.ca|)None,Opentags http dairycentre.,COLLEGE_ANALYSIS_CONFIGURATION_COLLEGE_DIPLOMA_LEVEL|[OPENTAGS]||[SPIDERTAG_FULLURL_OPEN]|http: dairycentre.
Academic departments  |  About the UW,|aes,http:||depts.washington.edu|aes|,,Some(Academic departments  |  About the UW)NoneSome(|aes)NoneSome(http:||depts.washington.edu|aes|)None,Erasmo Gamboa intereview Enrique Cerna KCTS documentary change Face Washington.,Dr. Erasmo Gamboa intereviewed by Enrique Cerna for KCTS 9's documentary Latinos: The Changing Face of Washington.
Academic departments  |  About the UW,|aes,http:||depts.washington.edu|aes|#content,,Some(Academic departments  |  About the UW)NoneSome(|aes)NoneSome(http:||depts.washington.edu|aes|#content)None,Erasmo Gamboa intereview Enrique Cerna KCTS documentary change Face Washington.,Dr. Erasmo Gamboa intereviewed by Enrique Cerna for KCTS 9's documentary Latinos: The Changing Face of Washington.
Academic departments  |  About the UW,|aes,http:||depts.washington.edu|aes|#menu-pull,,Some(Academic departments  |  About the UW)NoneSome(|aes)NoneSome(http:||depts.washington.edu|aes|#menu-pull)None,Aim be help student become knowledgeable citizen advanced sense critical thinking respect diversity.,Our aim is to help students become knowledgeable citizens with an advanced sense of critical thinking and respect for diversity.
Academic departments  |  About the UW,|aes,http:||depts.washington.edu|aes||interdisciplinary-writing-studio,,Some(Academic departments  |  About the UW)NoneSome(|aes)NoneSome(http:||depts.washington.edu|aes||interdisciplinary-writing-studio)None,Department American Ethnic Studies University Washington Padelford Hall Box Seattle WA.,Department of American Ethnic Studies University of Washington Padelford Hall B-504- Box 354380 Seattle- WA 98195-4380.
Academic departments  |  About the UW,|aes,http:||depts.washington.edu|aes||resources,,Some(Academic departments  |  About the UW)NoneSome(|aes)NoneSome(http:||depts.washington.edu|aes||resources)None,Home aim be develop well-informed compassionate citizen advance capacity critical thinking understanding respect cultural diversity self-perception responsible member increasingly global society.,Home Our aim is to develop well-informed and compassionate citizens- to advance their capacity for critical thinking- their understanding of and respect for cultural diversity- and their self-perception as responsible members of an increasingly global society.
Academic departments  |  About the UW,|anesth,http:||depts.washington.edu|anesth|,,Some(Academic departments  |  About the UW)NoneSome(|anesth)NoneSome(http:||depts.washington.edu|anesth|)None,SPA-AAP Pediatric Anesthesiology rd annual Regional Anesthesiology acute pain meet meet date April.,SPA-AAP Pediatric Anesthesiology 2018-43rd Annual Regional Anesthesiology and Acute Pain Meeting-Meeting Dates: April 19-21- 2018.
Academic departments  |  About the UW,|anesth,http:||depts.washington.edu|anesth|administration|jobs|img-faculty-careers.shtml,,Some(Academic departments  |  About the UW)NoneSome(|anesth)NoneSome(http:||depts.washington.edu|anesth|administration|jobs|img-faculty-careers.shtml)None,Url http dept.,Url=http: depts.
Academic departments  |  About the UW,|anesth,http:||depts.washington.edu|anesth|education|fellows|trauma.shtml,,Some(Academic departments  |  About the UW)NoneSome(|anesth)NoneSome(http:||depts.washington.edu|anesth|education|fellows|trauma.shtml)None,Protect non-clinical time research formal lecture course day week.,Protected non-clinical time for research and formal lectures or courses (~1 day week).
Academic departments  |  About the UW,|anesth,http:||depts.washington.edu|anesth|research|centers|hiprc|index.shtml,,Some(Academic departments  |  About the UW)NoneSome(|anesth)NoneSome(http:||depts.washington.edu|anesth|research|centers|hiprc|index.shtml)None,Department Anesthesiology Pain Medicine.,Department of Anesthesiology and Pain Medicine.
Academic departments  |  About the UW,|anthweb,http:||depts.washington.edu|anthweb|,,Some(Academic departments  |  About the UW)NoneSome(|anthweb)NoneSome(http:||depts.washington.edu|anthweb|)None,Stone Age manWhile pursue wide range theoretical methodological approach work common goal namely document understand many interconnected way be human world now inhabit people speak language.,Stone Age manWhile pursuing a wide range of theoretical and methodological approaches- we all work toward a common goal- namely to document and understand our many interconnected ways of being human in a world now inhabited by six billion people speaking five thousand languages.
Academic departments  |  About the UW,|anthweb,http:||depts.washington.edu|anthweb||internships-faq,,Some(Academic departments  |  About the UW)NoneSome(|anthweb)NoneSome(http:||depts.washington.edu|anthweb||internships-faq)None,Be register anth then focus be organization allow use anthropological skill nonacademic setting.,If you are registering for ANTH 489- then your focus will be on organizations that will allow you to use your anthropological skills in a nonacademic setting.
Academic departments  |  About the UW,|anthweb,http:||depts.washington.edu|anthweb||minor-anthropology,,Some(Academic departments  |  About the UW)NoneSome(|anthweb)NoneSome(http:||depts.washington.edu|anthweb||minor-anthropology)None,Copyright University Washington Privacy term site map contact Us.,Copyright 2016-2018 University of Washington Privacy Terms Site Map Contact Us.
Education and Counselling Psychology and Special Education UBC,|about,http:||ecps.educ.ubc.ca|about|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|about)NoneSome(http:||ecps.educ.ubc.ca|about|)None,Offer best world intimate graduate program large vibrant culturally rich university.,We offer the best of two worlds: intimate graduate programs within a large- vibrant- and culturally rich university.
Education and Counselling Psychology and Special Education UBC,|contact,http:||ecps.educ.ubc.ca|contact|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|contact)NoneSome(http:||ecps.educ.ubc.ca|contact|)None,Exclude statutory holiday Canada British Columbia.,(excluding statutory holidays in Canada and British Columbia).
Education and Counselling Psychology and Special Education UBC,|counselling-centres|psychoeducational-research-and-training-centre,http:||ecps.educ.ubc.ca|counselling-centres|psychoeducational-research-and-training-centre|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|counselling-centres|psychoeducational-research-and-training-centre)NoneSome(http:||ecps.educ.ubc.ca|counselling-centres|psychoeducational-research-and-training-centre|)None,Measurement evaluation Department Educational Counselling Psychology Faculty Education ECPS Home Centres The Research Training Centre PRTC be setting research clinical training Faculty Education.,Measurement- Evaluation- Department of Educational and Counselling Psychology-Faculty of Education ECPS Home Centres The Psychoeducational Research and Training Centre (PRTC) is a university-based setting for research and clinical training within the Faculty of Education.
Education and Counselling Psychology and Special Education UBC,|courses|ecps-course-list,http:||ecps.educ.ubc.ca|courses|ecps-course-list|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|courses|ecps-course-list)NoneSome(http:||ecps.educ.ubc.ca|courses|ecps-course-list|)None,Course Link epse epse Advanced Seminar Adolescence emerge Adulthood.,Course Link:EPSE 606-EPSE 630- Advanced Seminar: Adolescence Through Emerging Adulthood.
Education and Counselling Psychology and Special Education UBC,|events-media|current-events|past,http:||ecps.educ.ubc.ca|events-media|current-events|past|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|events-media|current-events|past)NoneSome(http:||ecps.educ.ubc.ca|events-media|current-events|past|)None,Educational Counselling Psychology Vancouver Website ecp.,Educational and Counselling Psychology- Vancouver-Website ecps.
Education and Counselling Psychology and Special Education UBC,|internal,http:||ecps.educ.ubc.ca|internal|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|internal)NoneSome(http:||ecps.educ.ubc.ca|internal|)None,Internal Department Educational Counselling Psychology Faculty Counselling Psychology Human Development Learning culture.,Internal- Department of Educational and Counselling Psychology-Faculty of EducationEducational and Counselling Psychology-Human Development- Learning- and Culture.
Education and Counselling Psychology and Special Education UBC,|people|jobs,http:||ecps.educ.ubc.ca|people|jobs|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|people|jobs)NoneSome(http:||ecps.educ.ubc.ca|people|jobs|)None,Ecp Job Department Educational Counselling Psychology Faculty Counselling Psychology Human Development Learning culture.,ECPS Job Opportunities- Department of Educational and Counselling Psychology-Faculty of EducationEducational and Counselling Psychology-Human Development- Learning- and Culture.
Education and Counselling Psychology and Special Education UBC,|students|current-students,http:||ecps.educ.ubc.ca|students|current-students|,,Some(Education and Counselling Psychology and Special Education UBC)NoneSome(|students|current-students)NoneSome(http:||ecps.educ.ubc.ca|students|current-students|)None,Book meeting room student defence.,Book a meeting room for your student defence.
Home | Department of Curriculum & Pedagogy,BLANK,http:||edcp.educ.ubc.ca|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(BLANK)NoneSome(http:||edcp.educ.ubc.ca|)None,Congratulation Sandrine outstanding recognition.,Congratulations- Sandrine on this outstanding recognition.
Home | Department of Curriculum & Pedagogy,|community,http:||edcp.educ.ubc.ca|community|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|community)NoneSome(http:||edcp.educ.ubc.ca|community|)None,Congratulation Rita outstanding recognition.,Congratulations- Rita on this outstanding recognition.
Home | Department of Curriculum & Pedagogy,|faculty-directory|adjunct-professors,http:||edcp.educ.ubc.ca|faculty-directory|adjunct-professors|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|faculty-directory|adjunct-professors)NoneSome(http:||edcp.educ.ubc.ca|faculty-directory|adjunct-professors|)None,Home Department curriculum Pedagogy.,Ubc_ca SPIDERTAGHOSTCLOSE]| |[SPIDERTAG_URI_OPEN]| faculty-directory adjunct-professors|[SPIDERTAG_URI_CLOSE]| |[SPIDERTAG_CATEGORY]| Home- Department of Curriculum and Pedagogy|[SPIDERTAG_CATEGORY_CLOSE]| |[SPIDERTAG_TBID_OPEN]|262279230|[SPIDERTAG_TBID_CLOSE]||[SPIDERTAG_WEBSITE_OPEN]|COLLEGE_PROGRAMS|[SPIDERTAG_WEBSITE_CLOSE]||[SPIDERTAG_URLREPOSITORY_OPEN]|college_degree_ca7.
Home | Department of Curriculum & Pedagogy,|faculty-directory|faculty-resources|info-for-instructors,http:||edcp.educ.ubc.ca|faculty-directory|faculty-resources|info-for-instructors|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|faculty-directory|faculty-resources|info-for-instructors)NoneSome(http:||edcp.educ.ubc.ca|faculty-directory|faculty-resources|info-for-instructors|)None,Department curriculum Pedagogy.,Department of Curriculum and Pedagogy|[SPIDERTAG_CATEGORY_CLOSE]| |[SPIDERTAG_TBID_OPEN]|664073573|[SPIDERTAG_TBID_CLOSE]||[SPIDERTAG_WEBSITE_OPEN]|COLLEGE_PROGRAMS|[SPIDERTAG_WEBSITE_CLOSE]||[SPIDERTAG_URLREPOSITORY_OPEN]|college_degree_ca7.
Home | Department of Curriculum & Pedagogy,|programs|doctorate-programs,http:||edcp.educ.ubc.ca|programs|doctorate-programs|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|programs|doctorate-programs)NoneSome(http:||edcp.educ.ubc.ca|programs|doctorate-programs|)None,Full-time UBC student domestic international newly admit start phd program Vancouver campus September later be provide Minimum Funding Package equal first year phd.,All full-time UBC students (domestic and international) newly admitted to start a PhD program of the Vancouver campus as of September 2018 or later will be provided with a Minimum Funding Package equal to $18-000 for each of the first four years of a PhD.
Home | Department of Curriculum & Pedagogy,|programs|home-economics-education,http:||edcp.educ.ubc.ca|programs|home-economics-education|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|programs|home-economics-education)NoneSome(http:||edcp.educ.ubc.ca|programs|home-economics-education|)None,Edcp introduction Curriculum Issues.,EDCP 562 (3) Introduction to Curriculum Issues and Theories-.
Home | Department of Curriculum & Pedagogy,|programs|music-education,http:||edcp.educ.ubc.ca|programs|music-education|,,Some(Home | Department of Curriculum & Pedagogy)NoneSome(|programs|music-education)NoneSome(http:||edcp.educ.ubc.ca|programs|music-education|)None,Edcp research Music Education.,EDCP 505 Research in Music Education (3).
UBC Department of Educational Studies,BLANK,http:||edst.educ.ubc.ca|,,Some(UBC Department of Educational Studies)NoneSome(BLANK)NoneSome(http:||edst.educ.ubc.ca|)None,Instructor position summer ALE Online Diploma.,INSTRUCTOR POSITIONS 2018 Summer ALE Online Diploma.
UBC Department of Educational Studies,|courses,http:||edst.educ.ubc.ca|courses|,,Some(UBC Department of Educational Studies)NoneSome(|courses)NoneSome(http:||edst.educ.ubc.ca|courses|)None,ADHE developing short course workshop seminar online tba.,"ADHE	329	63D	3	Developing Short Courses- Workshops and Seminars	1	n a	n a	online	TBA	."
UBC Department of Educational Studies,|current-students|funding,http:||edst.educ.ubc.ca|current-students|funding|,,Some(UBC Department of Educational Studies)NoneSome(|current-students|funding)NoneSome(http:||edst.educ.ubc.ca|current-students|funding|)None,Main model be GTA assign assist instructor course student multiple gta assign instructor large-lecture course.,The two main models are (a) one GTA assigned to assist the instructor in a course with over 50 students- or (b) multiple GTAs assigned to the instructor of a large-lecture course.
UBC Department of Educational Studies,|current-students|student-support-network-2,http:||edst.educ.ubc.ca|current-students|student-support-network-2|,,Some(UBC Department of Educational Studies)NoneSome(|current-students|student-support-network-2)NoneSome(http:||edst.educ.ubc.ca|current-students|student-support-network-2|)None,Med tsedst policy Faculty Education Home Current student EDST Student support Network be compose graduate student department have be hire graduate Academic gaa edst.,MEd : TsEDST Policies- Faculty of Education Home Current Students The EDST Student Support Network is composed of graduate students in the department that have been hired as Graduate Academic Assistants (GAAs) by EDST.
UBC Department of Educational Studies,|future-students|faq,http:||edst.educ.ubc.ca|future-students|faq|,,Some(UBC Department of Educational Studies)NoneSome(|future-students|faq)NoneSome(http:||edst.educ.ubc.ca|future-students|faq|)None,Do get snail mail box.,Do I get a snail mail box.
UBC Department of Educational Studies,|programs|adult-education-diploma,http:||edst.educ.ubc.ca|programs|adult-education-diploma|,,Some(UBC Department of Educational Studies)NoneSome(|programs|adult-education-diploma)NoneSome(http:||edst.educ.ubc.ca|programs|adult-education-diploma|)None,Depend many course take term.,This depends on how many courses you can take per term.
UBC Department of Educational Studies,|programs|curriculum-and-leadership,http:||edst.educ.ubc.ca|programs|curriculum-and-leadership|,,Some(UBC Department of Educational Studies)NoneSome(|programs|curriculum-and-leadership)NoneSome(http:||edst.educ.ubc.ca|programs|curriculum-and-leadership|)None,Educational Administration Leadership Program Vancouver BC Canada.,Educational Administration and Leadership Program- Vancouver- BC V6T 1Z2 Canada.
UBC Department of Educational Studies,|programs|edd-in-educational-leadership-and-policy,http:||edst.educ.ubc.ca|programs|edd-in-educational-leadership-and-policy|,,Some(UBC Department of Educational Studies)NoneSome(|programs|edd-in-educational-leadership-and-policy)NoneSome(http:||edst.educ.ubc.ca|programs|edd-in-educational-leadership-and-policy|)None,As well evaluate component application Committee be convince statement intent academic interest be congruent edd program background be adequate doctoral level work program.,As well as evaluating all components of your application- the Admissions Committee must be convinced by the statement of intent that your academic interests are congruent with those of the EdD program- and that your background is adequate for doctoral level work in the program.
UBC Department of Educational Studies,|welcome-sophia-choi,http:||edst.educ.ubc.ca|welcome-sophia-choi|,,Some(UBC Department of Educational Studies)NoneSome(|welcome-sophia-choi)NoneSome(http:||edst.educ.ubc.ca|welcome-sophia-choi|)None,Sophia be well poise communicate diverse population have experience deal domestic international student variety issue.,Sophia is well poised in communicating with a diverse population and has experience dealing with domestic and international students on variety of issues.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|)None,Read more ags colloquium Truro.,Read more AGS Colloquium in Truro.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|event-reader|ScienceAtlanticEnvironment.html,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|event-reader|ScienceAtlanticEnvironment.html)None,Websitename March Location Mount Allison University Sackville New Brunswick.,WebSiteName=COLLEGE_PROGRAMS March 16-Location: Mount Allison University- Sackville- New Brunswick.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|home.html?page_n493=15,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|home.html?page_n493=15)None,February GEOL Seminar Sarah Dunn.,February 28- 2018 GEOL 5903 Seminar: Sarah Dunn.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|home.html?page_n493=4,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|home.html?page_n493=4)None,Read geology Nova Scotia make first weekend fall see student Earth Environmental Science program examine sandbar play soccer mudflat raft river slide mud contemplate conglomerate shore Minas Basin.,Read more Geology of Nova Scotia makes the Libraries 150The first weekend of fall saw students from the Earth and Environmental Science programs examining sandbars- playing soccer on mudflats- rafting rivers- sliding in mud- contemplating conglomerate- along the shores of the Minas Basin.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|home.html?page_n493=5,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|home.html?page_n493=5)None,Last February visit Speaker Joshua Kurek.,Last February 8- 2018 Visiting Speaker: Dr. Joshua Kurek.
Faculties & Departments - Acadia University,BLANK,http:||ees.acadiau.ca|home.html?page_n493=6,,Some(Faculties & Departments - Acadia University)NoneSome(BLANK)NoneSome(http:||ees.acadiau.ca|home.html?page_n493=6)None,Be sadden hear death Professor Kurt Kyser Department Geological Geological Engineering Queens University.,We were saddened to hear of the death of Professor Kurt Kyser- Department of Geological Sciences and Geological Engineering- Queens University.
College of Engineering | University of Nebraskaâ€“Lincoln,BLANK,http:||engineering.unl.edu|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(BLANK)NoneSome(http:||engineering.unl.edu|)None,Engineering faculty staff receive parent recognition award.,Eleven Engineering faculty and staff receive Parents' Recognition Award.
College of Engineering | University of Nebraskaâ€“Lincoln,BLANK,http:||engineering.unl.edu||,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(BLANK)NoneSome(http:||engineering.unl.edu||)None,Url http engineering.,Url=http: engineering.
College of Engineering | University of Nebraskaâ€“Lincoln,|about-coe-college-advisory-board,http:||engineering.unl.edu|about-coe-college-advisory-board|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|about-coe-college-advisory-board)NoneSome(http:||engineering.unl.edu|about-coe-college-advisory-board|)None,Half Moon Bay.,Half Moon Bay- Calif.
College of Engineering | University of Nebraskaâ€“Lincoln,|about-coe-employee-resources,http:||engineering.unl.edu|about-coe-employee-resources|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|about-coe-employee-resources)NoneSome(http:||engineering.unl.edu|about-coe-employee-resources|)None,University NebraskaUNL web framework quality assurance provide web Developer Network QA Test University NebraskaLincoln part site work best JavaScript enable.,University of NebraskaUniversity of NebraskaUNL web framework and quality assurance provided by the Web Developer Network QA Test 2018 University of NebraskaLincoln Some parts of this site work best with JavaScript enabled.
College of Engineering | University of Nebraskaâ€“Lincoln,|about-coe-faculty-staff-contacts,http:||engineering.unl.edu|about-coe-faculty-staff-contacts|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|about-coe-faculty-staff-contacts)NoneSome(http:||engineering.unl.edu|about-coe-faculty-staff-contacts|)None,Scott Campus Omaha.,Scott Campus (Omaha)(402)bonniemartin@unl.
College of Engineering | University of Nebraskaâ€“Lincoln,|academic-departments,http:||engineering.unl.edu|academic-departments|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|academic-departments)NoneSome(http:||engineering.unl.edu|academic-departments|)None,Agricultural Biological Systems Engineering.,M. S. in Agricultural and Biological Systems Engineering.
College of Engineering | University of Nebraskaâ€“Lincoln,|annual-golf-scramble,http:||engineering.unl.edu|annual-golf-scramble|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|annual-golf-scramble)NoneSome(http:||engineering.unl.edu|annual-golf-scramble|)None,Donate flag prize be greatly appreciate need.,Donated flag prizes are greatly appreciated and needed.
College of Engineering | University of Nebraskaâ€“Lincoln,|building-campaign,http:||engineering.unl.edu|building-campaign|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|building-campaign)NoneSome(http:||engineering.unl.edu|building-campaign|)None,Sketch provide unl opportunity verify Architect have correctly interpret unl desire functional relationship various activity.,These sketches will provide UNL with the opportunity to verify that the Architect has correctly interpreted UNLs desired functional relationships between various activities.
College of Engineering | University of Nebraskaâ€“Lincoln,|buildings-and-campuses,http:||engineering.unl.edu|buildings-and-campuses|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|buildings-and-campuses)NoneSome(http:||engineering.unl.edu|buildings-and-campuses|)None,Four-story brick limestone building open feature latest research laboratory design include bio-process manufacturing facility.,The four-story brick and limestone building- which opened in 2002- features the latest in research laboratory design- including a bio-process manufacturing facility.
College of Engineering | University of Nebraskaâ€“Lincoln,|chme,http:||engineering.unl.edu|chme|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|chme)NoneSome(http:||engineering.unl.edu|chme|)None,Chemical Biomolecular Engineering College Engineering University NebraskaFOC Chemical engineer more CHEMICAL ENGINEERING NEWS Nebraska Chemical Biomolecular Engineering student enjoy numerous resource exciting cutting-edge research.,Chemical and Biomolecular Engineering- College of Engineering- University of NebraskaUniversity of NebraskaFOC Chemical engineers'MORE CHEMICAL ENGINEERING NEWS Nebraska Chemical and Biomolecular Engineering students enjoy numerous resources for exciting- cutting-edge research.
College of Engineering | University of Nebraskaâ€“Lincoln,|civil,http:||engineering.unl.edu|civil|,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil)NoneSome(http:||engineering.unl.edu|civil|)None,Undergraduate degree award last year.,Undergraduate Degrees Awarded Last Year.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|bachelor-science-civil-engineering,http:||engineering.unl.edu|civil|bachelor-science-civil-engineering|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|bachelor-science-civil-engineering)NoneSome(http:||engineering.unl.edu|civil|bachelor-science-civil-engineering|)None,Bachelor civil Engineering.,Ph. D. Bachelor's in Civil Engineering.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-about-department,http:||engineering.unl.edu|civil|civil-about-department|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-about-department)NoneSome(http:||engineering.unl.edu|civil|civil-about-department|)None,Provide nation new generation engineer meet challenge century facilitate enrichment academic professional experience student civil Engineering program University UNL be first establish.,Providing the nation with a new generation of engineers that can meet the challenges of the 21st century-Facilitating the enrichment of the academic and professional experience of students- The Civil Engineering program at the University of Nebraska-Lincoln (UNL) was first established in 1877.
College of Engineering | University of Nebraskaâ€“Lincoln,|civil,http:||engineering.unl.edu|civil|civil-alumni-and-friends,,Some(College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil)NoneSome(http:||engineering.unl.edu|civil|civil-alumni-and-friends)None,Dual ms civil Engineering Community Regional Planning.,Dual MS in Civil Engineering and Community and Regional Planning.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-alumni-and-friends,http:||engineering.unl.edu|civil|civil-alumni-and-friends|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-alumni-and-friends)NoneSome(http:||engineering.unl.edu|civil|civil-alumni-and-friends|)None,Civil Alumni College Engineering University NebraskaB.,Civil - Alumni and Friends- College of Engineering- University of NebraskaUniversity of NebraskaB.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-contact-us,http:||engineering.unl.edu|civil|civil-contact-us|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-contact-us)NoneSome(http:||engineering.unl.edu|civil|civil-contact-us|)None,Department Civil Engineering offer program City Campus Lincoln Scott Campus Omaha.,The Department of Civil Engineering offers programs on both the City Campus in Lincoln and Scott Campus in Omaha.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-facilities,http:||engineering.unl.edu|civil|civil-facilities|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-facilities)NoneSome(http:||engineering.unl.edu|civil|civil-facilities|)None,Civil civil Engineering College Engineering University NebraskaLincoln.,Edu SPIDERTAGHOSTCLOSE]| |[SPIDERTAG_URI_OPEN]| civil civil-facilities|[SPIDERTAG_URI_CLOSE]| |[SPIDERTAG_CATEGORY]| Civil Engineering- College of Engineering- University of NebraskaLincoln|[SPIDERTAG_CATEGORY_CLOSE]| |[SPIDERTAG_TBID_OPEN]|408525510|[SPIDERTAG_TBID_CLOSE]||[SPIDERTAG_WEBSITE_OPEN]|COLLEGE_PROGRAMS|[SPIDERTAG_WEBSITE_CLOSE]||[SPIDERTAG_URLREPOSITORY_OPEN]|college_degree_us3.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-facilities,http:||engineering.unl.edu|civil|civil-facilities||,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-facilities)NoneSome(http:||engineering.unl.edu|civil|civil-facilities||)None,Opentags http engineering.,COLLEGE_ANALYSIS_CONFIGURATION_COLLEGE_DIPLOMA_LEVEL|[OPENTAGS]||[SPIDERTAG_FULLURL_OPEN]|http: engineering.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-faculty-and-staff,http:||engineering.unl.edu|civil|civil-faculty-and-staff|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-faculty-and-staff)NoneSome(http:||engineering.unl.edu|civil|civil-faculty-and-staff|)None,City Campus Lincoln.,City Campus (Lincoln)(402)xuli@unl.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-grad-programs,http:||engineering.unl.edu|civil|civil-grad-programs|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-grad-programs)NoneSome(http:||engineering.unl.edu|civil|civil-grad-programs|)None,Url http engineering.,Url=http: engineering.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-graduate-student-directory,http:||engineering.unl.edu|civil|civil-graduate-student-directory|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-graduate-student-directory)NoneSome(http:||engineering.unl.edu|civil|civil-graduate-student-directory|)None,Url http engineering.,Url=http: engineering.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-graduate-student-resources,http:||engineering.unl.edu|civil|civil-graduate-student-resources|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-graduate-student-resources)NoneSome(http:||engineering.unl.edu|civil|civil-graduate-student-resources|)None,Dual ms civil Engineering Community Regional Planning.,Dual MS in Civil Engineering and Community and Regional Planning.
Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln,|civil|civil-master-science,http:||engineering.unl.edu|civil|civil-master-science|,,Some(Civil Engineering | College of Engineering | University of Nebraskaâ€“Lincoln)NoneSome(|civil|civil-master-science)NoneSome(http:||engineering.unl.edu|civil|civil-master-science|)None,Option also require semester hour credit do not require minor.,Option III also requires 36 semester hours of credit but does not require a minor.
